Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Refract Index 656.3nm C,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, PbO, La2O3, TiO2, GeO2, ZrO2, P2O5, Refract Index 656.3nm C
113, GB03-012827, Handbook of Glass Properties, 1986, v. 001  p. 0597, 68.0, , , , , 25.0, , , , , , , 7.0, , , , , 1.649
114, GB03-012828, Handbook of Glass Properties, 1986, v. 001  p. 0597, 63.0, , , , , 30.0, , , , , , , 7.0, , , , , 1.668
115, GB03-012829, Handbook of Glass Properties, 1986, v. 001  p. 0597, 58.0, , , , , 35.0, , , , , , , 7.0, , , , , 1.682
116, GB03-012830, Handbook of Glass Properties, 1986, v. 001  p. 0597, 55.0, , , , , 38.0, , , , , , , 7.0, , , , , 1.691
117, GB03-012831, Handbook of Glass Properties, 1986, v. 001  p. 0597, 70.0, , , , , 20.0, , , , , , , 10.0, , , , , 1.667
118, GB03-012832, Handbook of Glass Properties, 1986, v. 001  p. 0597, 67.0, , , , , 23.0, , , , , , , 10.0, , , , , 1.671
119, GB03-012833, Handbook of Glass Properties, 1986, v. 001  p. 0597, 65.0, , , , , 25.0, , , , , , , 10.0, , , , , 1.679
120, GB03-012834, Handbook of Glass Properties, 1986, v. 001  p. 0597, 65.0, , , , , 23.0, , , , , , , 12.0, , , , , 1.696
121, GB03-012914, Handbook of Glass Properties, 1986, v. 001  p. 0600, 55.0, , , , , 25.0, , , , , , , , 20.0, , , , 1.724
122, GB03-012915, Handbook of Glass Properties, 1986, v. 001  p. 0600, 50.0, , , , , 25.0, , , , , , , , 25.0, , , , 1.77
123, GB09-012916, Handbook of Glass Properties, 1986, v. 001  p. 0600, 45.0, , , , , 25.0, , , , , , , , 30.0, , , , 1.814
124, GB09-012917, Handbook of Glass Properties, 1986, v. 001  p. 0600, 40.0, , , , , 25.0, , , , , , , , 35.0, , , , 1.857
125, GB03-012918, Handbook of Glass Properties, 1986, v. 001  p. 0600, 65.0, , , , , 30.0, , , , , , , , 5.0, , , , 1.628
126, GB03-012919, Handbook of Glass Properties, 1986, v. 001  p. 0600, 60.0, , , , , 30.0, , , , , , , , 10.0, , , , 1.668
127, GB03-012920, Handbook of Glass Properties, 1986, v. 001  p. 0600, 55.0, , , , , 30.0, , , , , , , , 15.0, , , , 1.708
128, GB03-012921, Handbook of Glass Properties, 1986, v. 001  p. 0600, 50.0, , , , , 30.0, , , , , , , , 20.0, , , , 1.748
129, GB03-012922, Handbook of Glass Properties, 1986, v. 001  p. 0600, 45.0, , , , , 30.0, , , , , , , , 25.0, , , , 1.789
130, GB03-012923, Handbook of Glass Properties, 1986, v. 001  p. 0600, 40.0, , , , , 30.0, , , , , , , , 30.0, , , , 1.829
131, GB03-012924, Handbook of Glass Properties, 1986, v. 001  p. 0600, 60.0, , , , , 35.0, , , , , , , , 5.0, , , , 1.63
132, GB03-012925, Handbook of Glass Properties, 1986, v. 001  p. 0600, 55.0, , , , , 35.0, , , , , , , , 10.0, , , , 1.687
133, GB03-012926, Handbook of Glass Properties, 1986, v. 001  p. 0600, 50.0, , , , , 35.0, , , , , , , , 15.0, , , , 1.725
134, GB03-012930, Handbook of Glass Properties, 1986, v. 001  p. 0602, 66.0, , , , , 32.0, , , , , , , , , , , , 1.631
135, GB03-012931, Handbook of Glass Properties, 1986, v. 001  p. 0602, 62.0, , , , , 36.0, , , , , , , , , , , , 1.644
136, GB03-012932, Handbook of Glass Properties, 1986, v. 001  p. 0602, 58.0, , , , , 40.0, , , , , , , , , , , , 1.66
137, GB03-012933, Handbook of Glass Properties, 1986, v. 001  p. 0602, 62.0, , , , , 32.0, , , , , , , , , , , , 1.683
138, GB03-012934, Handbook of Glass Properties, 1986, v. 001  p. 0602, 58.0, , , , , 36.0, , , , , , , , , , , , 1.699
139, GB03-012935, Handbook of Glass Properties, 1986, v. 001  p. 0602, 54.0, , , , , 40.0, , , , , , , , , , , , 1.711
140, GB03-012936, Handbook of Glass Properties, 1986, v. 001  p. 0602, 50.0, , , , , 44.0, , , , , , , , , , , , 1.728
141, GB03-012937, Handbook of Glass Properties, 1986, v. 001  p. 0602, 58.0, , , , , 32.0, , , , , , , , , , , , 1.734
142, GB03-012938, Handbook of Glass Properties, 1986, v. 001  p. 0602, 54.0, , , , , 36.0, , , , , , , , , , , , 1.748
143, GB03-012939, Handbook of Glass Properties, 1986, v. 001  p. 0602, 50.0, , , , , 40.0, , , , , , , , , , , , 1.754
144, GB03-012940, Handbook of Glass Properties, 1986, v. 001  p. 0602, 46.0, , , , , 44.0, , , , , , , , , , , , 1.768
145, GB03-012941, Handbook of Glass Properties, 1986, v. 001  p. 0602, 54.0, , , , , 32.0, , , , , , , , , , , , 1.782
146, GB03-012942, Handbook of Glass Properties, 1986, v. 001  p. 0602, 50.0, , , , , 36.0, , , , , , , , , , , , 1.795
147, GB03-012943, Handbook of Glass Properties, 1986, v. 001  p. 0602, 46.0, , , , , 40.0, , , , , , , , , , , , 1.806
148, GB03-012944, Handbook of Glass Properties, 1986, v. 001  p. 0602, 42.0, , , , , 44.0, , , , , , , , , , , , 1.815
149, GB03-012945, Handbook of Glass Properties, 1986, v. 001  p. 0602, 38.0, , , , , 48.0, , , , , , , , , , , , 1.821
150, GB03-012946, Handbook of Glass Properties, 1986, v. 001  p. 0602, 50.0, , , , , 32.0, , , , , , , , , , , , 1.83
151, GB03-012947, Handbook of Glass Properties, 1986, v. 001  p. 0602, 46.0, , , , , 36.0, , , , , , , , , , , , 1.841
152, GB03-012948, Handbook of Glass Properties, 1986, v. 001  p. 0602, 42.0, , , , , 40.0, , , , , , , , , , , , 1.849
153, GB03-012949, Handbook of Glass Properties, 1986, v. 001  p. 0602, 38.0, , , , , 44.0, , , , , , , , , , , , 1.857
154, GB03-012950, Handbook of Glass Properties, 1986, v. 001  p. 0602, 34.0, , , , , 48.0, , , , , , , , , , , , 1.862
