,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,nd
94,0.0,0.1612,0.0911,0.1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6306,1.519
95,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.32,1.81
96,0.6642,0.1134,0.0376,0.0,0.0,0.0,0.0,0.0309,0.1056,0.0,0.0,0.0,0.0,0.0293,0.0,0.0,0.019,0.0,1.52862
97,0.6553,0.0,0.0002,0.0639,0.1289,0.0,0.0,0.1157,6.445000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,0.0,1.5544
98,0.7619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.507
99,0.7000000000000001,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.527
100,0.0,0.0,0.0,0.0,0.0394,0.0721,0.0555,0.0,0.0,0.4074,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.4079,1.5982
101,0.7112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.1778,0.0,0.0,1.524
102,0.3804,0.1898,0.0,0.0,0.0,0.0,0.2871,0.0138,0.0039,0.0286,0.0958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58624
103,0.2288,0.2962,0.0008,0.0,0.2451,0.0168,0.0834,0.0,0.0,0.0306,0.0,0.0,0.019,0.0754,0.0,0.0,0.0,0.0,1.695
104,0.5018,0.1575,0.0135,0.0,0.0,0.3098,0.0,0.0,0.0,0.0124,0.0,0.0,0.0,0.0003,0.0011,0.0,0.0007,0.0,1.63
105,0.0,0.0,0.15,0.154,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.516
106,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.513
107,0.5901,0.0,0.067,0.0524,0.1905,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.589
108,0.0,0.0,0.1184,0.0,0.0901,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.6133,1.537
109,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,1.583
110,0.5929,0.1941,0.0663,0.0,0.0,0.008,0.1336999999999999,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52
111,0.5924,0.0,0.0,0.0,0.0,0.1285,0.0,0.1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1617,0.0,0.0,1.59741
112,0.4516,0.1192,0.0053,0.0,0.0605,0.2537999999999999,0.0,0.0,0.0,0.057,0.0,0.0116,0.0,0.0,0.038,0.0,0.0,0.0,1.6667
113,0.4492,0.0881,0.024,0.0,0.0729,0.1227,0.0081999999999999,0.0,0.0,0.0501999999999999,0.1184,0.0,0.0,0.0,0.0358,0.0,0.0299,0.0,1.666
114,0.233,0.428,0.062,0.02,0.02,0.012,0.035,0.025,0.077,0.0819999999999999,0.004,0.0,0.0,0.002,0.0,0.0,0.0,0.0,1.55
115,0.0581,0.5503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0134,0.0,0.057,0.1712999999999999,0.0,0.0,0.0676,0.0,1.77324
116,0.12,0.4,0.0,0.0,0.14,0.0,0.09,0.0,0.0,0.1,0.0,0.0,0.04,0.08,0.0,0.0,0.02,0.0,1.71481
117,0.0,0.0089,0.0243,0.0,0.0088,0.2507,0.0747,0.088,0.0487,0.0305,0.0299,0.0,0.0,0.0008,0.0,0.0,0.0,0.4175,1.5823
118,0.1367,0.2271999999999999,0.0,0.0,0.0,0.0993,0.0,0.0,0.0,0.1054,0.0,0.0,0.0,0.1409,0.2122,0.0,0.0741,0.0,1.901
119,0.3443,0.1601,0.0,0.0,0.0,0.1719,0.0,0.0,0.0,0.1782,0.0657,0.0,0.0,0.0089,0.0489,0.0,0.0141999999999999,0.0,1.70242
120,0.0,0.75,0.0,0.0,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62092
121,0.6577,0.1082,0.0194,0.0609,0.0,0.0,0.0371,0.0408,0.0381,0.0,0.0,0.0,0.0,0.0,0.0269,0.0,0.0,0.0,1.522
122,0.0,0.0819,0.1007,0.1132,0.0,0.0,0.0,0.0,0.1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5709000000000001,1.522
123,0.0729,0.4727,0.0,0.0,0.0,0.0214,0.0,0.0,0.0058,0.128,0.0,0.0,0.0,0.1311999999999999,0.1235,0.0,0.0444,0.0,1.79
124,0.6315,0.0,0.0,0.0,0.0,0.0,0.0,0.2166,0.0,0.0,0.0,0.1519,0.0,0.0,0.0,0.0,0.0,0.0,1.613
125,0.4319,0.0971,0.0797,0.0,0.0,0.0,0.0113999999999999,0.0,0.0,0.0,0.0,0.2559,0.0,0.0181,0.0936,0.0,0.0097,0.0,1.8
126,0.6318,0.0,0.0223,0.0,0.0,0.0173,0.0,0.1262,0.0725,0.0,0.0,0.0,0.0,0.0,0.1236,0.0,0.0,0.0,1.5825
127,0.736,0.0,0.0,0.073,0.02,0.0,0.0,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.501
128,0.0,0.1507,0.1507,0.1075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5777,1.503
129,0.0,0.0,0.0,0.0,0.0,0.3498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6502,1.554
130,0.7587,0.0762,0.0446,0.0019,0.0006,0.0,0.0115,0.1065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.499
131,0.6741,0.0415,0.0611,0.0861,0.0569,0.0,0.0,0.0504999999999999,0.0,0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5219
132,0.7551000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2264999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.514
133,0.7175,0.06,0.0538,0.0027,0.0006,0.0,0.0,0.159,0.0054,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,1.504
134,0.7103,0.0,0.006,0.1515,0.0436,0.0,0.0,0.0296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,1.55
135,0.1546,0.4678,0.0,0.0,0.1646,0.0387,0.0,0.0,0.0,0.0556,0.0,0.0,0.0,0.0889,0.0,0.0,0.0298,0.0,1.691
136,0.241,0.474,0.0,0.0,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.617
